Engineering Strain (unitless),Engineering Stress (Pa)
0.0593,39230769.23076923
0.0594,39230769.23076923
0.059500000000000004,39230769.23076923
0.0596,39230769.23076923
0.059699999999999996,39230769.23076923
0.059800000000000006,39230769.23076923
0.0599,39230769.23076923
0.06,39230769.23076923
0.06,39230769.23076923
0.0601,39230769.23076923
0.0602,39230769.23076923
0.0603,38974358.974358976
0.0604,38974358.974358976
0.0605,38974358.974358976
0.060599999999999994,38974358.974358976
0.060700000000000004,38974358.974358976
0.0608,38974358.974358976
0.060899999999999996,38974358.974358976
0.060899999999999996,38974358.974358976
0.061,38974358.974358976
0.0611,38974358.974358976
0.061200000000000004,38974358.974358976
0.0613,38974358.974358976
0.061399999999999996,38974358.974358976
0.061500000000000006,38974358.974358976
0.0616,38974358.974358976
0.0616,38974358.974358976
0.0617,38974358.974358976
0.061799999999999994,38974358.974358976
0.061900000000000004,38974358.974358976
0.062,38974358.974358976
0.0621,38974358.974358976
0.0622,38974358.974358976
0.0623,38974358.974358976
0.062400000000000004,38974358.974358976
0.0625,38974358.974358976
0.0626,38974358.974358976
0.0626,38974358.974358976
0.06269999999999999,38974358.974358976
0.06280000000000001,38974358.974358976
0.0629,38974358.974358976
0.063,38974358.974358976
0.06309999999999999,38717948.71794872
0.0632,38717948.71794872
0.0633,38717948.71794872
0.0633,38717948.71794872
0.0634,38717948.71794872
0.0635,38717948.71794872
0.0636,38717948.71794872
0.0637,38717948.71794872
0.0638,38717948.71794872
0.0639,38717948.71794872
0.064,38717948.71794872
0.0641,38717948.71794872
0.0641,38717948.71794872
0.0642,38717948.71794872
0.0643,38717948.71794872
0.0644,38717948.71794872
0.0645,38717948.71794872
0.0646,38717948.71794872
0.0647,38717948.71794872
0.06480000000000001,38717948.71794872
0.0649,38717948.71794872
0.065,38717948.71794872
0.065,38717948.71794872
0.06509999999999999,38717948.71794872
0.0652,38717948.71794872
0.0653,38717948.71794872
0.0654,38717948.71794872
0.0655,38717948.71794872
0.06559999999999999,38461538.461538464
0.06570000000000001,38461538.461538464
0.0658,38461538.461538464
0.0658,38461538.461538464
0.0659,38461538.461538464
0.066,38461538.461538464
0.0661,38461538.461538464
0.0662,38461538.461538464
0.0663,38461538.461538464
0.0664,38461538.461538464
0.0665,38461538.461538464
0.0666,38461538.461538464
0.0667,38461538.461538464
0.0667,38461538.461538464
0.0668,38461538.461538464
0.0669,38461538.461538464
0.067,38461538.461538464
0.06709999999999999,38461538.461538464
0.0672,38461538.461538464
0.0673,38461538.461538464
0.0674,38461538.461538464
0.0675,38461538.461538464
0.0675,38461538.461538464
0.0676,38461538.461538464
0.0677,38461538.461538464
0.0678,38461538.461538464
0.0679,38461538.461538464
0.068,38461538.461538464
0.0681,38461538.461538464
0.0682,38205128.20512821
0.0683,38205128.20512821
0.0684,38205128.20512821
0.0684,38205128.20512821
0.06849999999999999,38205128.20512821
0.06860000000000001,38205128.20512821
0.0687,38205128.20512821
0.0688,38205128.20512821
0.0689,38205128.20512821
0.069,38205128.20512821
0.0691,38205128.20512821
0.0692,38205128.20512821
0.0692,38205128.20512821
0.0693,38205128.20512821
0.0694,38205128.20512821
0.0695,38205128.20512821
0.0696,38205128.20512821
0.0697,38205128.20512821
0.0698,38205128.20512821
0.0699,38205128.20512821
0.07,38205128.20512821
0.07,38205128.20512821
0.0701,38205128.20512821
0.0702,38205128.20512821
0.0703,38205128.20512821
0.0704,38205128.20512821
0.0705,38205128.20512821
0.0706,38205128.20512821
0.0707,38205128.20512821
0.0708,38205128.20512821
0.0708,37948717.94871795
0.0709,37948717.94871795
0.071,37948717.94871795
0.0711,37948717.94871795
0.0712,37948717.94871795
0.0713,37948717.94871795
0.07139999999999999,37948717.94871795
0.07150000000000001,37948717.94871795
0.0716,37948717.94871795
0.0717,37948717.94871795
0.0717,37948717.94871795
0.0718,37948717.94871795
0.0719,37948717.94871795
0.07200000000000001,37948717.94871795
0.0721,37948717.94871795
0.0722,37948717.94871795
0.0723,37948717.94871795
0.0724,37948717.94871795
0.0725,37948717.94871795
0.0725,37948717.94871795
0.0726,37948717.94871795
0.0727,37948717.94871795
0.0728,37948717.94871795
0.0729,37948717.94871795
0.073,37948717.94871795
0.0731,37948717.94871795
0.0732,37948717.94871795
0.0733,37948717.94871795
0.0733,37692307.692307696
0.07339999999999999,37692307.692307696
0.0735,37692307.692307696
0.0736,37692307.692307696
0.0737,37692307.692307696
0.0738,37692307.692307696
0.0739,37692307.692307696
0.07400000000000001,37692307.692307696
0.0741,37692307.692307696
0.0742,37692307.692307696
0.0742,37692307.692307696
0.07429999999999999,37692307.692307696
0.07440000000000001,37692307.692307696
0.0745,37692307.692307696
0.0746,37692307.692307696
0.0747,37692307.692307696
0.0748,37692307.692307696
0.07490000000000001,37692307.692307696
0.075,37692307.692307696
0.0751,37692307.692307696
0.0751,37692307.692307696
0.07519999999999999,37692307.692307696
0.0753,37692307.692307696
0.0754,37435897.43589744
0.0755,37435897.43589744
0.0756,37435897.43589744
0.0757,37435897.43589744
0.0758,37435897.43589744
0.0759,37435897.43589744
0.0759,37435897.43589744
0.076,37435897.43589744
0.0761,37435897.43589744
0.0762,37435897.43589744
0.07629999999999999,37435897.43589744
0.0764,37435897.43589744
0.0765,37435897.43589744
0.0766,37435897.43589744
0.0767,37435897.43589744
0.0768,37435897.43589744
0.0768,37435897.43589744
0.07690000000000001,37435897.43589744
0.077,37435897.43589744
0.0771,37435897.43589744
0.07719999999999999,37435897.43589744
0.07730000000000001,37435897.43589744
0.0774,37179487.17948718
0.0775,37179487.17948718
0.0775,37179487.17948718
0.0776,37179487.17948718
0.07769999999999999,37179487.17948718
0.07780000000000001,37179487.17948718
0.0779,37179487.17948718
0.078,37179487.17948718
0.0781,37179487.17948718
0.0782,37179487.17948718
0.0783,37179487.17948718
0.0784,37179487.17948718
0.0784,37179487.17948718
0.0785,37179487.17948718
0.0786,37179487.17948718
0.0787,37179487.17948718
0.0788,37179487.17948718
0.0789,37179487.17948718
0.079,37179487.17948718
0.0791,36923076.92307692
0.07919999999999999,36923076.92307692
0.07919999999999999,36923076.92307692
0.0793,36923076.92307692
0.0794,36923076.92307692
0.0795,36923076.92307692
0.0796,36923076.92307692
0.0797,36923076.92307692
0.07980000000000001,36923076.92307692
0.0799,36923076.92307692
0.08,36923076.92307692
0.0801,36923076.92307692
0.0801,36923076.92307692
0.0802,36923076.92307692
0.0803,36923076.92307692
0.08039999999999999,36923076.92307692
0.0805,36923076.92307692
0.0806,36923076.92307692
0.08070000000000001,36666666.666666664
0.0808,36666666.666666664
0.0809,36666666.666666664
0.0809,36666666.666666664
0.081,36666666.666666664
0.08109999999999999,36666666.666666664
0.0812,36666666.666666664
0.08130000000000001,36666666.666666664
0.0814,36666666.666666664
0.0815,36666666.666666664
0.0816,36666666.666666664
0.0817,36666666.666666664
0.0817,36666666.666666664
0.0818,36666666.666666664
0.0819,36666666.666666664
0.08199999999999999,36410256.41025641
0.0821,36410256.41025641
0.08220000000000001,36410256.41025641
0.0823,36410256.41025641
0.0824,36410256.41025641
0.0825,36410256.41025641
0.08259999999999999,36410256.41025641
0.08259999999999999,36410256.41025641
0.0827,36410256.41025641
0.0828,36410256.41025641
0.08289999999999999,36410256.41025641
0.083,36410256.41025641
0.08310000000000001,36410256.41025641
0.0832,36410256.41025641
0.0833,36153846.15384615
0.0834,36153846.15384615
0.0834,36153846.15384615
0.08349999999999999,36153846.15384615
0.0836,36153846.15384615
0.0837,36153846.15384615
0.08380000000000001,36153846.15384615
0.0839,36153846.15384615
0.084,36153846.15384615
0.08410000000000001,36153846.15384615
0.0842,36153846.15384615
0.0843,36153846.15384615
0.0843,35897435.897435896
0.08439999999999999,35897435.897435896
0.08449999999999999,35897435.897435896
0.08460000000000001,35897435.897435896
0.08470000000000001,35897435.897435896
0.0848,35897435.897435896
0.0849,35897435.897435896
0.085,35897435.897435896
0.0851,35897435.897435896
0.0851,35897435.897435896
0.0852,35641025.64102564
0.08529999999999999,35641025.64102564
0.08539999999999999,35641025.64102564
0.0855,35641025.64102564
0.08560000000000001,35641025.64102564
0.0857,35641025.64102564
0.0858,35641025.64102564
0.0859,35641025.64102564
0.0859,35384615.384615384
0.086,35384615.384615384
0.0861,35384615.384615384
0.0862,35384615.384615384
0.0863,35384615.384615384
0.0864,35384615.384615384
0.08650000000000001,35128205.12820513
0.0866,35128205.12820513
0.0867,35128205.12820513
0.0867,35128205.12820513
0.0868,35128205.12820513
0.08689999999999999,35128205.12820513
0.087,34871794.87179487
0.08710000000000001,34871794.87179487
0.0872,34871794.87179487
0.0873,34871794.87179487
0.0874,34615384.615384616
0.0875,34615384.615384616
0.0876,34615384.615384616
0.0876,34615384.615384616
0.0877,34358974.35897436
0.08779999999999999,34358974.35897436
0.08789999999999999,34358974.35897436
0.08800000000000001,34102564.102564104
0.08810000000000001,34102564.102564104
0.0882,34102564.102564104
0.0883,33846153.84615385
0.08839999999999999,33846153.84615385
0.08839999999999999,33589743.58974359
0.0885,33589743.58974359
0.0886,33333333.333333332
0.08869999999999999,33333333.333333332
0.0888,33076923.076923076
