Engineering Strain (unitless),Engineering Stress (Pa)
0.0174,19230769.230769232
0.0174,19307692.307692308
0.0175,19384615.384615384
0.0176,19435897.435897436
0.0176,19512820.512820512
0.0177,19564102.564102564
0.0177,19641025.64102564
0.0178,19717948.71794872
0.0178,19769230.769230768
0.0179,19846153.846153848
0.0179,19923076.923076924
0.018000000000000002,19974358.974358976
0.0181,20051282.051282052
0.0181,20102564.102564104
0.0182,20179487.17948718
0.0182,20256410.256410256
0.0183,20307692.307692308
0.0184,20384615.384615384
0.0184,20461538.46153846
0.018500000000000003,20512820.512820512
0.018500000000000003,20589743.58974359
0.018600000000000002,20666666.666666668
0.018600000000000002,20717948.71794872
0.0187,20794871.794871796
0.018799999999999997,20846153.846153848
0.018799999999999997,20923076.923076924
0.0189,20974358.974358976
0.0189,21051282.051282052
0.019,21128205.128205128
0.019,21205128.205128204
0.0191,21256410.256410256
0.0191,21307692.307692308
0.0192,21384615.384615384
0.019299999999999998,21461538.46153846
0.019299999999999998,21538461.53846154
0.0194,21589743.58974359
0.0194,21666666.666666668
0.0195,21717948.71794872
0.0196,21794871.794871796
0.0196,21871794.871794872
0.0197,21923076.923076924
0.0197,22000000.0
0.019799999999999998,22051282.051282052
0.019799999999999998,22128205.128205128
0.0199,22205128.205128204
0.02,22256410.256410256
0.02,22333333.333333332
0.020099999999999996,22410256.410256412
0.020099999999999996,22461538.46153846
0.0202,22538461.53846154
0.0202,22615384.615384616
0.0203,22666666.666666668
0.0203,22743589.743589744
0.0204,22794871.794871796
0.020499999999999997,22871794.871794872
0.020499999999999997,22923076.923076924
0.0206,23000000.0
0.0206,23076923.076923076
0.0207,23128205.128205128
0.0208,23205128.205128204
0.0208,23282051.282051284
0.0209,23333333.333333332
0.0209,23410256.410256412
0.021,23461538.46153846
0.021,23538461.53846154
0.021099999999999997,23615384.615384616
0.0212,23692307.692307692
0.0212,23743589.743589744
0.0213,23820512.82051282
0.0213,23871794.871794872
0.021400000000000002,23948717.948717948
0.021400000000000002,24025641.025641028
0.0215,24076923.076923076
0.0216,24153846.153846156
0.0216,24230769.230769232
0.0217,24282051.282051284
0.0217,24358974.35897436
0.0218,24435897.435897436
0.0218,24487179.487179488
0.0219,24564102.564102564
0.022000000000000002,24615384.615384616
0.022000000000000002,24692307.692307692
0.022099999999999998,24743589.743589744
0.022099999999999998,24820512.82051282
0.0222,24897435.897435896
0.0222,24948717.948717948
0.0223,25025641.025641028
0.0223,25076923.076923076
0.022400000000000003,25153846.153846156
0.0225,25230769.230769232
0.0225,25307692.307692308
0.0226,25358974.35897436
0.0226,25435897.435897436
0.0227,25487179.487179488
0.0227,25564102.564102564
0.022799999999999997,25615384.615384616
0.0229,25641025.64102564
0.0229,25641025.64102564
0.023,25897435.897435896
0.023,25897435.897435896
0.0231,25897435.897435896
0.0232,26153846.153846156
0.0232,26153846.153846156
0.0233,26153846.153846156
0.0233,26153846.153846156
0.023399999999999997,26410256.410256412
0.023399999999999997,26410256.410256412
0.0235,26410256.410256412
0.0235,26410256.410256412
0.0236,26666666.666666668
0.023700000000000002,26666666.666666668
0.023700000000000002,26666666.666666668
0.023799999999999998,26666666.666666668
0.023799999999999998,26923076.923076924
0.0239,26923076.923076924
