True Strain (unitless),True Stress (Pa)
0.04094998632895417,1995447.6923076925
0.04104596943600102,2003653.8461538462
0.04114194333117521,2011861.5384615385
0.041237908016244766,2012054.6153846155
0.04133386349297721,2022936.9230769232
0.041429809763139556,2023131.025641026
0.04152574682849831,2031343.5897435897
0.04162167469081945,2031538.4615384615
0.04171759335186847,2039753.333333333
0.04181350281341035,2050643.3333333333
0.04190940307720956,2050840.0
0.04200529414503007,2051036.6666666665
0.042101176018635326,2059256.4102564103
0.04219704869978828,2059453.846153846
0.042292912190251365,2067675.8974358973
0.042484611606155395,2068072.3076923077
0.042484611606155395,2078773.8461538465
0.04258044753511848,2078973.0769230772
0.042676274280436396,2087200.0000000002
0.042772091843869056,2087400.0000000002
0.04286790022717587,2095629.230769231
0.04296369943211572,2106536.666666667
0.04305948946044701,2106738.4615384615
0.04315527031392763,2114971.794871795
0.043346804503365866,2115376.923076923
0.043442557842836724,2115579.4871794875
0.04353830201448341,2123816.6666666665
0.04363403702006128,2124020.0
0.0437297628613252,2134938.205128205
0.043825479540029515,2143179.487179487
0.043921187057928086,2143384.615384615
0.04401688541677426,2151628.205128205
0.044112574618320875,2162553.076923077
0.04420825466432028,2162760.0
0.044303925556524314,2162966.923076923
0.044399587296684515,2171215.384615385
0.044495239886551304,2171423.076923077
0.04459088332787522,2179673.846153846
0.044686517622406094,2179882.3076923075
0.04478214277189325,2190816.9230769235
0.0448777587780855,2199071.794871795
0.044973365642731196,2199282.0512820515
0.045068963367578145,2207539.2307692305
0.04516455195437366,2207750.256410256
0.045260131404864574,2218692.564102564
0.0453557017207972,2218904.6153846155
0.04545126290391736,2227166.6666666665
0.04564235787870104,2227592.3076923075
0.0457378916738537,2235857.435897436
0.04583341634317215,2246808.461538462
0.045928931888399735,2247023.076923077
0.04602443831127925,2247237.6923076925
0.046119935613553036,2255507.6923076925
0.04621542379696289,2263779.2307692305
0.04631090286325036,2263995.384615385
0.046406372814155834,2264211.5384615385
0.04650183365141986,2275172.307692308
0.04659728537678226,2275389.4871794875
0.046692727991982354,2283666.666666667
0.04678816149875898,2291945.3846153845
