True Strain (unitless),True Stress (Pa)
0.03710308795150226,33262820.512820516
0.037199440989106304,33266025.641025644
0.03729578474369693,33535384.615384616
0.03739211921706269,33538615.384615384
0.037488444410991605,33541846.153846156
0.037488444410991605,33808051.28205128
0.03758476032727121,33811307.692307696
0.037681066967688484,33814564.102564104
0.03777736433402992,34084102.56410256
0.03787365242808149,34087384.615384616
0.037969931251628626,34357000.0
0.03806620080645628,34360307.69230769
0.03816246109434886,34363615.384615384
0.03825871211709027,34366923.07692307
0.038354953876463906,34636666.666666664
0.038354953876463906,34636666.666666664
0.038451186374252634,34639999.99999999
0.03854740961223883,34909820.51282051
0.03864362359220453,34913179.487179495
0.03873982831593065,34916538.461538464
0.038836023785198216,35186461.53846154
0.03893221000178754,35189846.15384616
0.0390283869674784,35193230.769230776
0.03912455468405008,35463256.410256416
0.03912455468405008,35463256.410256416
0.03922071315328133,35466666.66666667
0.03931686237695041,35736769.23076923
0.03941300235683506,35740205.12820513
0.03950913309471249,35743641.025641024
0.03960525459235942,36013846.15384615
0.039701366851552046,36017307.692307696
0.03979746987406606,36020769.23076923
0.03989356366167662,36291076.92307692
0.03989356366167662,36291076.92307692
0.03998964821615841,36294564.102564104
0.04008572353928558,36298051.28205128
0.04018178963283176,36568461.538461536
0.04027784649857008,36571974.35897435
0.040373894138273164,36575487.179487176
0.04046993255371312,36845999.99999999
0.04056596174666175,36849538.461538464
0.04066198171888972,36853076.92307693
0.04066198171888972,36853076.92307693
0.040757992472167826,37123692.30769231
0.04085399400826612,37127256.41025641
0.04094998632895417,37130820.51282051
0.04104596943600102,37401538.461538464
0.04114194333117521,37405128.20512821
0.041237908016244766,37408717.94871795
0.04133386349297721,37412307.69230769
0.041429809763139556,37683153.84615385
0.04152574682849831,37686769.23076923
0.04152574682849831,37686769.23076923
0.04162167469081945,37957692.307692304
0.04171759335186847,37961333.33333333
0.04181350281341035,37964974.35897435
0.04190940307720956,37968615.384615384
0.04200529414503007,38239666.666666664
0.042101176018635326,38243333.33333333
0.04219704869978828,38246999.99999999
0.042292912190251365,38250666.666666664
0.04238876649178652,38521846.153846145
0.04238876649178652,38521846.153846145
0.042484611606155395,38525538.461538464
0.04258044753511848,38529230.76923077
0.042676274280436396,38532923.07692308
0.042772091843869056,38804230.769230776
0.04286790022717587,38807948.71794873
0.04296369943211572,38811666.66666667
0.04305948946044701,38815384.61538462
0.04305948946044701,39083076.92307693
0.04315527031392763,39086820.51282052
0.043251041994314954,39090564.102564104
0.043346804503365866,39094307.692307696
0.043442557842836724,39098051.28205129
0.04353830201448341,39369615.384615384
0.04363403702006128,39373384.615384616
0.0437297628613252,39377153.84615385
0.043825479540029515,39380923.07692308
0.043921187057928086,39384692.30769231
0.04401688541677426,39656410.256410256
0.04401688541677426,39656410.256410256
0.044112574618320875,39660205.12820513
0.04420825466432028,39664000.0
0.044303925556524314,39667794.87179487
0.044399587296684515,39939641.02564103
0.044495239886551304,39943461.53846154
0.04459088332787522,39947282.051282056
0.044686517622406094,39951102.56410257
0.04478214277189325,39954923.07692308
0.04478214277189325,40223076.92307693
0.0448777587780855,40226923.07692308
0.044973365642731196,40230769.23076923
0.045068963367578145,40234615.38461539
0.04516455195437366,40238461.53846154
0.045260131404864574,40242307.692307696
0.0453557017207972,40514461.53846154
0.04545126290391736,40518333.333333336
0.04554681495597036,40522205.12820513
0.04564235787870104,40526076.92307692
0.04564235787870104,40526076.92307692
0.0457378916738537,40529948.71794872
0.04583341634317215,40533820.51282051
0.045928931888399735,40806153.84615385
0.04602443831127925,40810051.28205128
0.046119935613553036,40813948.71794871
0.04621542379696289,40817846.15384615
0.04631090286325036,40821743.5897436
0.04631090286325036,40821743.5897436
0.046406372814155834,40825641.02564103
0.04650183365141986,40829538.461538464
0.04659728537678226,41102076.92307693
0.046692727991982354,41106000.00000001
0.04678816149875898,41109923.07692308
0.04688358589885046,41113846.15384616
0.04697900119399464,41117769.23076923
0.04707440738592885,41121692.30769231
0.04716980447638993,41125615.384615384
0.04716980447638993,41125615.384615384
0.04726519246711422,41129538.461538464
0.047360571359837574,41402307.692307696
0.04745594115629533,41406256.41025641
0.04755130185822235,41410205.12820513
0.047646653467352994,41414153.84615385
0.0477419959854211,41418102.56410256
0.04783732941416006,41422051.28205128
0.04793265375530272,41426000.0
0.04793265375530272,41426000.0
0.04802796901058147,41429948.71794871
0.048123275181728174,41433897.43589743
0.04821857227047444,41437846.15384616
0.048313860278550724,41441794.87179488
0.04840913920768763,41445743.58974359
0.048504409059615054,41718846.15384616
0.04859966983606241,41722820.51282052
0.0486949215387586,41726794.87179487
0.04879016416943205,41730769.23076923
0.04879016416943205,41730769.23076923
0.04888539772981066,41734743.58974359
0.04898062222162188,41738717.94871795
0.049075837646592645,41742692.30769231
0.04917104400644938,41746666.666666664
0.04926624130291805,41750641.025641024
0.04936142953772409,41754615.384615384
0.04945660871259249,41758589.743589744
0.04955177882924771,41762564.102564104
0.04955177882924771,41762564.102564104
0.04964693988941372,41766538.46153846
0.04974209189481401,41770512.82051282
0.049837234847171584,41774487.179487176
0.04993236874820893,41778461.538461536
0.05002749359964807,41782435.897435896
0.05012260940321052,41786410.256410256
0.050217716160617515,41790384.61538462
0.05031281387358918,41794358.974358976
0.05031281387358918,41794358.974358976
0.050407902543845765,41798333.333333336
0.05050298217310683,41802307.692307696
0.050598052763091435,41806282.051282056
0.050693114315518165,41810256.410256416
0.050788166832105096,41814230.76923077
0.05088321031456982,41818205.12820513
